frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,1.880653,1.7229226,2.26112,-607471.2092049029,1.1787455964817591e-06,6.811959402901785e-08
10,1.7975154,1.9993017,2.554106,-614996.4592049029,2.3547971217838826,1.821947825187905
20,1.8536022,1.7680305,2.6127715,-615170.2092049029,2.161907302210035,1.661426093393922
30,2.037141,1.8523879,2.2234225,-616725.4592049029,2.4652997355983968,2.005669519691165
40,1.8072376,1.9421571,3.0008857,-615199.4592049029,2.385642581825748,1.91662049996039
50,1.9223411,1.9038187,3.4849424,-616378.2092049029,2.584193122585164,2.2279587166626222
60,1.9373106,1.8992981,2.588821,-615191.4592049029,2.6135049942115836,1.9441980203744675
70,1.8878262,3.4085186,3.2189558,-615002.8342049029,3.109329207730413,2.8697986068219845
80,2.083231,3.9454658,1.7189747,-615744.9592049029,3.298592080864594,2.447767655739427
90,2.6384864,4.2138114,3.1557806,-615566.8342049029,3.434257837288048,2.870230246804301
100,2.7575102,4.1613593,2.4964569,-614421.4592049029,3.763715539378519,2.4411681709911917
110,1.7837632,4.277269,2.2577238,-615030.8342049029,3.1360769253453116,2.4796473803037298
120,1.9132773,3.686775,2.4773023,-615888.4592049029,3.2046626988964313,2.9240764774697903
130,2.38969,4.2351418,2.1921077,-614574.9592049029,3.9253680464943144,2.4132226125931084
140,2.3321376,4.4285407,1.8472686,-615432.7092049029,3.1423168642740085,2.674350727881086
150,2.9335265,4.66925,3.1877363,-615339.9592049029,4.243277789007764,2.561842658031119
160,2.0849926,4.0489984,2.961561,-614725.2092049029,3.5361749687304447,3.019598584635686
170,2.133184,3.7008362,2.2054238,-615081.4592049029,4.483023251925096,2.679194168896199
180,2.1145658,3.8620198,2.7278218,-615750.4592049029,4.066089035090305,2.953567344120539
190,2.3978374,4.7002745,3.1060028,-614356.2092049029,4.007989235867302,3.238468726181352
200,2.1750002,3.996343,2.4670932,-614191.2092049029,4.140082973728732,2.862458772721456
210,2.22038,3.8777096,3.0690334,-616396.9592049029,4.530213842473977,3.243785214581081
220,2.0775065,4.0987444,2.7484305,-614164.7092049029,4.14579018395794,3.0008509215523023
230,2.0601292,4.038991,3.644432,-615580.2092049029,4.161869673261066,2.975350719839548
