frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,1.720259,1.9859722,6.361683,-606791.5955867288,8.910479163723507e-07,0.0
10,2.4227753,1.9032606,6.514018,-613137.0955867288,2.3389144584383295,1.562477185934521
20,2.2136688,1.803059,6.481234,-613000.0955867288,2.3776717148900044,1.240740477889554
30,1.9087137,1.748742,6.638957,-614060.9705867288,2.653236356210896,1.2049159808747423
40,4.8011675,5.71923,6.734974,-613750.5955867288,2.4594445950433306,1.6704575224321807
50,4.7340045,5.914995,6.559493,-614113.8455867288,2.363960903144302,1.7449928858230646
60,4.9341493,6.568465,6.4094,-613009.8455867288,2.5267414054640596,1.8933013683767665
70,4.812077,5.676922,7.1021748,-614840.2205867288,2.650913002737038,1.5756229698188204
80,4.619679,5.954657,6.627244,-615367.5955867288,3.0603015939688065,2.332014516696446
90,4.618955,6.132917,6.6681046,-614720.4705867288,3.0070830826744777,1.7473776839346011
100,4.5345936,5.963925,7.019767,-612395.5955867288,2.9003441919184763,1.7467581134792758
110,5.35028,5.9665594,8.6867895,-614346.0955867288,3.073068563612576,2.1240656476209
120,5.256649,5.8794374,7.539605,-614473.5955867288,3.094058641089303,2.103455699457537
130,4.5179224,5.6711154,7.164741,-612878.5955867288,3.2377528768123045,1.8707537065202502
140,4.4360976,5.4722877,7.065233,-614005.8455867288,3.154144283544572,1.9851725162285132
150,4.7761374,6.1196733,6.451377,-614428.7205867288,3.2890059109814285,1.8321795590160748
160,4.5952096,5.0525775,7.251937,-614170.7205867288,3.1991991782832527,1.7906344266278853
170,5.008016,5.807511,6.3521004,-614136.0955867288,3.160881229216585,1.938145041586312
180,4.933783,5.0740194,7.408001,-614394.4705867288,3.0161334265557933,1.7445753175864416
190,4.8880343,6.1576886,7.021896,-614740.5955867288,3.1449930052812403,1.6616252145216646
200,4.959885,5.338693,6.958501,-614175.8455867288,3.2712952854930517,1.5716989459919746
210,5.010874,5.6493006,7.066199,-613322.3455867288,3.2461723560179876,1.8084323508611035
220,4.793524,6.515951,6.789632,-614131.0955867288,3.1862998292929277,1.9577850239582555
230,5.273102,5.709076,6.8598733,-614483.0955867288,3.3658840447490546,1.9139892690223559
240,5.108948,5.4843993,7.375267,-614636.5955867288,3.166094693134497,1.6528097887165722
250,4.7168336,6.1400294,6.874892,-614649.0955867288,3.1527323089940236,1.8033333702917902
260,4.996169,6.8742547,6.691746,-613205.3455867288,3.507868418819766,1.3993034679303509
270,5.213771,6.8257556,6.7344522,-613608.5955867288,3.2211650824738816,1.684749489140967
280,4.9765196,6.8349833,6.9831557,-614323.0955867288,3.3872995176441534,1.93429583272849
290,1.9897795,4.1657577,3.674739,-614953.3455867288,3.6568576498623138,2.4826380914016126
300,4.2327547,6.400737,3.765136,-615896.5955867288,3.7575565008469707,2.845452517867057
310,3.796299,5.9919734,3.7165532,-613829.8455867288,3.824238358997452,3.0210012968543176
320,1.6875331,3.9663887,3.0019352,-614571.3455867288,4.011998154523582,2.9367488992837516
330,1.8928673,4.273565,3.5383291,-613662.2205867288,3.9920176820520235,2.8636788859541253
340,1.7350881,3.7848783,3.7141917,-614465.9705867288,3.612209617367975,2.808363882366956
350,2.0666733,4.043136,3.1047723,-614783.3455867288,4.126365684881222,2.666006814146358
360,1.9539891,3.8321033,3.7955291,-614731.4705867288,4.087823582501196,2.7918130362392337
370,2.8348484,4.6340904,4.135294,-615213.8455867288,3.9813475577686397,2.9115250997542597
380,1.8373712,3.7173386,3.772444,-614824.4705867288,3.791229289700888,2.8083607102319426
390,1.9833075,4.1352115,3.0488434,-613948.3455867288,3.819830376747023,2.7879496481245654
400,1.943164,3.7416458,3.6656682,-614090.5955867288,4.150459465805614,3.2166245474218607
410,1.9780132,3.5286674,3.0278962,-614260.5955867288,3.422226691832224,3.080293302183896
420,1.9447125,4.2677183,2.5696654,-615066.8455867288,3.6118736267637113,3.208991525268934
430,1.9203689,3.9361906,3.5778003,-614495.3455867288,3.643519206485206,2.8657142020284345
440,2.149423,4.2680726,3.30218,-613431.0955867288,3.5545147200448675,2.7358651801031035
450,1.9598405,3.8303497,3.1474097,-612963.5955867288,3.6764813936083134,2.847582347287319
460,1.8593527,4.207633,2.8491976,-616131.3455867288,3.824998535495103,2.9376160080386797
470,4.7820835,6.8063793,4.55047,-613919.3455867288,3.1379921213548316,3.000586795763637
480,2.1463704,4.208015,4.534514,-614440.5955867288,3.381975015596163,2.8264819132138004
490,2.0136786,3.4143686,3.761535,-614627.5955867288,3.704251417886002,2.7841673489066157
500,2.1076689,4.031123,3.6328633,-614819.0955867288,3.506875674324119,2.936983787869023
510,1.8679924,4.4217167,3.3822303,-613932.9705867288,3.3632766465239383,2.8859412584335415
520,1.8864268,4.441021,3.4637065,-612705.9705867288,3.4802033798594625,2.8043754135594883
530,1.966248,4.0725646,3.3405247,-614505.8455867288,3.52194060785668,2.848899412116054
540,1.9314878,4.478586,3.6372588,-614542.0955867288,3.4879696837907423,2.7601972721872565
550,2.1304758,4.2147923,3.400705,-614074.8455867288,2.8149399256257914,2.871547221114858
560,1.7703736,3.896168,3.3290706,-614358.7205867288,2.7297292432272275,3.149479593313722
570,1.9294102,3.4670317,2.992943,-614265.7205867288,2.5602312014498,3.10325155096114
580,2.0804071,3.8738685,3.5815277,-614097.8455867288,2.985774561283099,3.00910640000804
590,1.9969529,4.2085,3.5056245,-615415.3455867288,2.9498569781848687,3.253643346752977
600,1.9474983,3.9836438,3.141619,-614919.4705867288,3.518750522740524,3.2359262667615565
610,2.0369956,3.3254333,3.0948975,-616001.0955867288,2.8676685575579315,2.9625393470849475
620,2.477056,3.7914164,3.3482957,-613506.7205867288,2.918001312992491,2.6805147142019936
