frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,2.002944,1.6706865,6.149938,-609470.8455867288,7.716701315676477e-07,0.0
10,1.829041,2.0366044,6.146843,-614975.3455867288,2.239215419960598,1.6689131001556414
20,1.802382,1.757693,5.721282,-614917.8455867288,1.9816754509474466,1.4847989555047587
30,3.3868344,1.9585805,6.838266,-613931.2205867288,2.064548592245194,1.5381819119156348
40,2.1129313,2.00359,6.767591,-613146.5955867288,2.1797144764662053,1.3100774419941084
50,1.9789265,1.9101591,6.33828,-614200.3455867288,2.2411520141303023,1.541196392648674
60,4.915343,4.9377804,6.455134,-614296.4705867288,3.4205981200969284,2.3956562019420806
70,8.558674,8.446397,8.453283,-613444.8455867288,2.5898454855604727,2.7700269945397453
80,7.4751115,7.618208,7.8533225,-614616.8455867288,2.688604270852112,2.5319145969316352
90,7.139288,7.170792,7.6259255,-615088.5955867288,2.747600320271448,2.8090099270131694
100,4.338532,3.9374158,6.6754093,-614742.7205867288,3.1477861454576734,2.5182487115082597
110,6.0232644,4.9298325,6.7456813,-615489.4705867288,2.8059312654200146,2.895071358609031
120,5.5701494,4.824244,6.842327,-614178.0955867288,2.942323047952619,2.7777079856949802
130,5.856161,4.4068966,7.008361,-613080.8455867288,2.6597019666306476,2.66240355342735
140,5.5571823,4.4029536,7.6641145,-613997.5955867288,3.0011736452084894,2.8277157238709005
150,6.2216763,4.905732,6.9084086,-614862.3455867288,3.001385678003227,2.802700209493447
160,5.7413516,4.906955,7.0524344,-613599.0955867288,3.038328725655457,2.5215379703001917
170,5.983914,4.8154945,6.9827805,-614126.3455867288,3.0137917214573573,2.4755056090541494
180,5.730211,4.598949,7.4052014,-613683.2205867288,3.4870375052488307,2.7990652840655725
190,5.63442,4.4511657,7.2868147,-613537.5955867288,3.442458343768444,2.753938309323495
200,5.320951,4.440182,7.195128,-615126.3455867288,3.4297302129522786,2.462633566972628
