frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,1.7743868,1.8364997,2.0945497,-610065.3720833645,3.1503301201451645e-07,1.6685824685663347e-07
10,1.8760711,1.6290221,2.0152106,-615500.7470833645,1.9245460775338772,0.9729736891845202
20,1.8070384,1.8690914,1.9583861,-615415.9970833645,1.8777408292494238,1.1110481473213645
30,1.9697528,1.9833069,2.65454,-615898.1220833645,2.3312596246140678,1.654536766669966
40,1.8085462,1.9090586,2.792012,-615255.9970833645,2.48515323234198,1.409331363890674
50,1.723147,1.8003596,2.3412032,-613747.9970833645,2.4813673332157644,1.718796441857122
60,1.742117,1.8452075,2.5502818,-615918.2470833645,2.335144411256575,1.3645863424093376
70,2.0458732,1.9537023,2.547021,-615428.2470833645,2.8344899607458105,1.8315517000843622
80,1.8394213,1.7953784,2.5250735,-614724.4970833645,2.9101920510717485,1.7370797692922761
90,1.6930165,1.8416916,2.8323047,-615379.9970833645,2.537044343341309,1.7057915549412006
100,1.7678045,1.683899,2.7120078,-615676.8720833645,2.833714281588615,1.6079341827022868
110,1.7975544,1.6725396,3.5120788,-615179.3720833645,3.033353892635045,1.99839903765426
120,2.2333176,1.7797942,3.5900803,-615184.7470833645,3.7288770986036743,1.8232489619981258
130,1.9139551,1.6943889,2.479266,-615957.7470833645,3.283354309641658,1.6496375040138542
140,1.8810952,1.7254138,2.4577398,-614302.3720833645,3.2678161218628428,1.7266466524302866
150,1.8848634,1.8108565,2.6455297,-614282.2470833645,3.596472895466765,1.7557994663791954
160,1.9158472,1.8424891,3.0130532,-615113.4970833645,3.22358439283942,1.89679024711737
170,1.8361552,1.7427876,3.397686,-616234.7470833645,3.1621638188684145,2.065315058287787
180,1.8022832,1.8307288,2.8787313,-615018.9970833645,3.182707154590997,1.704992693134136
190,1.9754437,1.8349215,2.8679755,-614874.9970833645,3.7640506435498935,1.7623119218348375
200,1.8432643,1.972061,3.679619,-615392.6220833645,4.4034342831839375,1.8711318252649383
210,2.0107503,1.9891664,3.5919147,-614925.2470833645,3.737504860532605,1.57052403521084
220,1.9611436,1.7345266,2.4968758,-615033.7470833645,3.918443873260515,1.826334464437491
230,2.0192122,1.7381958,3.0837815,-615307.2470833645,3.5935476975488774,1.7277164847251927
240,1.8232955,1.8557111,3.4521556,-616623.9970833645,4.076513690552529,1.834793052179914
250,1.8675832,2.1076376,3.368305,-615323.7470833645,4.103475987076859,1.7530371420140487
260,1.8288941,1.8234532,3.249978,-614196.4970833645,4.493316368724693,1.7563466504218546
270,1.8126795,2.1713533,3.1591065,-615568.8720833645,4.542758686563921,1.855962956876317
280,2.0870614,2.0898502,3.5266821,-615293.7470833645,4.213014570342583,1.9471012388685944
290,1.871122,1.937569,2.2448797,-615533.2470833645,3.2203141038969028,1.9452434982113767
300,1.7372309,1.7746737,2.9197009,-615041.9970833645,3.813882104034699,2.0543911081749586
310,1.7323878,1.7198398,2.2771087,-615199.1220833645,3.7801374538076384,1.9421718456757555
320,2.171711,1.7096575,4.8538694,-614586.7470833645,3.7930130765853356,2.4229796050215278
330,2.0328388,1.8141146,3.5417829,-615021.9970833645,4.586447742312827,1.6567031908710486
340,2.0199823,1.9717664,4.00556,-614534.2470833645,4.416565916749117,1.8561078510830953
350,1.7206761,1.6551825,3.2431974,-614730.2470833645,4.324417092208104,1.6168268892371702
360,2.2814014,2.0713336,3.5299919,-615175.7470833645,4.609152030875146,1.7128355680266736
370,1.9825703,1.6697915,2.518186,-613895.2470833645,4.213120117428337,1.7742902837493006
380,1.7257401,1.8404793,2.218592,-613931.6220833645,4.219693815404406,1.591654655456073
390,1.86296,1.7937865,3.5819356,-613987.2470833645,4.3081380104587765,1.6814867525470614
400,2.1087651,1.9578116,3.8315036,-615658.1220833645,4.418243786463875,1.559079041278449
410,1.9527208,1.7661736,3.1852045,-614573.8720833645,4.1762108351474785,1.929994319878248
420,2.1836026,2.1086392,3.8233552,-616579.7470833645,3.862044142668989,2.1480331426962365
430,1.9353287,1.8024193,2.6959605,-615603.9970833645,3.1138979335808608,2.2699726949028047
440,1.7488039,2.0079768,2.2824059,-615551.3720833645,3.4159210389182113,2.037108760579107
450,1.819619,1.9452003,3.0806217,-617476.4970833645,3.7228288251789916,1.7989105360210844
460,1.7454886,1.7816086,2.159416,-614960.2470833645,3.521005942353218,1.9818099436414554
470,1.829346,1.7325212,2.2579033,-614397.2470833645,3.4346324699593493,1.721167639938145
480,1.6633035,1.8690412,2.6329591,-615932.4970833645,3.3776778829942526,2.084522927053228
490,1.8717227,1.8833482,4.7298493,-613848.4970833645,4.050799949550076,2.997595623580095
500,2.1959054,2.0257432,3.6473396,-615911.9970833645,3.7871422277564344,2.355390822423946
510,1.900437,2.0834236,3.113402,-616361.4970833645,3.6334332810378873,2.3286184089267605
520,2.3123076,1.9917033,4.1121335,-615358.9970833645,4.272638084247409,2.3226289478569453
530,1.8869759,1.8402584,3.2522175,-615149.2470833645,3.480990562602736,2.1411290082053838
540,1.7066115,1.8950197,2.589634,-615595.2470833645,3.4568987005578897,2.0832529828125077
