frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,2.002944,1.6706865,6.149938,-609470.8455867288,0.0,0.0
10,1.829041,2.0366044,6.146843,-614975.3455867288,5.425096219936565,5.025057157369465
20,1.802382,1.757693,5.721282,-614917.8455867288,9.032111111605476,10.41933670945071
30,3.3868344,1.9585805,6.838266,-613931.2205867288,11.702803722089506,12.21450660471177
40,2.1129313,2.00359,6.767591,-613146.5955867288,15.424410661131624,15.086743916004005
50,1.9789265,1.9101591,6.33828,-614200.3455867288,18.14314749328177,18.102603793197936
60,4.915343,4.9377804,6.455134,-614296.4705867288,18.375474228106913,14.105997810191132
70,8.558674,8.446397,8.453283,-613444.8455867288,17.054260292281448,10.902361618678936
80,7.4751115,7.618208,7.8533225,-614616.8455867288,17.90890973745543,13.02815760873906
90,7.139288,7.170792,7.6259255,-615088.5955867288,16.88038794968195,12.569344182104578
100,4.338532,3.9374158,6.6754093,-614742.7205867288,18.70131739982232,16.08205004153216
110,6.0232644,4.9298325,6.7456813,-615489.4705867288,18.978610626630438,20.003007765572864
120,5.5701494,4.824244,6.842327,-614178.0955867288,22.115625877868503,22.276384983301917
130,5.856161,4.4068966,7.008361,-613080.8455867288,24.969418183925512,25.663103550479267
140,5.5571823,4.4029536,7.6641145,-613997.5955867288,25.915149980168785,26.354192246533216
150,6.2216763,4.905732,6.9084086,-614862.3455867288,25.003300499934184,23.52199432445969
160,5.7413516,4.906955,7.0524344,-613599.0955867288,24.11319482406175,22.88705632550697
170,5.983914,4.8154945,6.9827805,-614126.3455867288,24.93241593373266,24.03189130263575
180,5.730211,4.598949,7.4052014,-613683.2205867288,25.211638980859274,24.070886034541786
190,5.63442,4.4511657,7.2868147,-613537.5955867288,26.724884913126004,26.5463219566894
200,5.320951,4.440182,7.195128,-615126.3455867288,24.47927126408996,23.131582950251666
210,6.1430335,5.2528577,7.4935923,-614240.4705867288,26.151722604095717,24.72625790110006
220,5.797108,4.835927,6.937612,-615449.0955867288,28.438994740053833,26.185577835312866
230,6.105311,4.529691,7.1635666,-613905.0955867288,29.47862600385692,27.95364869116818
240,5.7630906,4.6705294,6.3760815,-613210.9705867288,28.651891443147672,25.474092299790183
250,5.430488,4.459173,6.969298,-616448.8455867288,27.979336067425777,24.981252900838545
260,7.3081403,7.378488,7.672613,-614875.9705867288,29.140826772290335,25.275610554649404
270,7.422343,7.691002,7.4652166,-614303.8455867288,30.12346913554764,24.78849357659988
280,7.055418,7.3791623,7.8084846,-615785.0955867288,30.948590323438246,24.83892844127795
290,6.8962946,6.86992,8.002067,-613410.3455867288,31.720718435016813,27.293947284326475
300,6.954479,6.8889165,8.033166,-613782.3455867288,30.29786716836576,27.17082802460978
310,5.351242,4.9059067,7.0718226,-615688.3455867288,30.92280347122711,28.04888969752435
320,5.5535,4.488901,7.007275,-615899.7205867288,30.671002463142976,26.39967229956246
330,5.7047887,5.2104464,7.004621,-613952.8455867288,30.366744127564353,24.340667056445824
340,6.1288733,5.5748034,7.428569,-613937.8455867288,30.867112273417966,25.97788204233712
350,5.4264717,5.1480837,6.764912,-613971.5955867288,31.9156738767634,27.647991930936577
360,5.6010704,4.690661,6.9086323,-613455.5955867288,30.332573930897237,25.528034308418796
370,5.2005153,4.49689,7.013594,-615758.9705867288,28.2613047703843,23.577626665489507
380,5.347458,4.9417486,6.531305,-615549.7205867288,29.338548123235658,25.880272605386462
390,5.4657345,4.9292107,7.629889,-613613.5955867288,27.191944404089952,26.014174217456528
400,5.262299,5.390265,5.9165535,-613750.7205867288,27.951086679040326,23.441475732645994
410,5.7196093,4.820301,7.057585,-613267.8455867288,28.118339134745657,24.598990520169906
420,5.1510015,5.2391663,7.025576,-614368.0955867288,29.42113931375673,26.977215870101432
430,5.57831,4.4400477,7.498918,-614411.8455867288,29.01739757571927,27.879510277501
