"","name","timescale","kvalue","restraint","ktvalue","kcalvalue","kjvalue"
"1","analysis_1.25ns-k100ex3-noscaling-1.out","1.25ns","k100","ex3",-3.62814067850374,-0.26287573158361,-1.09987084668841
"2","analysis_1.25ns-k100ex3-noscaling-2.out","1.25ns","k100","ex3",0.148665893413202,0.0107715380839762,0.0450680655882122
"3","analysis_1.25ns-k100ex3-noscaling-3.out","1.25ns","k100","ex3",0.035127365699196,0.00254514165106446,0.0106488609117113
"4","analysis_1.25ns-k100ex3-scaling-1.out","1.25ns","k100","ex3",-1.6062128764857,-0.116377622148688,-0.48692343350664
"5","analysis_1.25ns-k100ex3-scaling-2.out","1.25ns","k100","ex3",-0.295748446626618,-0.0214283557780209,-0.0896561415948592
"6","analysis_1.25ns-k100ex3-scaling-3.out","1.25ns","k100","ex3",2.23732016379287,0.162104291690906,0.678243607653808
"7","analysis_1.25ns-k100simple-nonscaling-1.out","1.25ns","k100","simple",1.44936899490754,0.105013550639952,0.439376210806221
"8","analysis_1.25ns-k100simple-nonscaling-2.out","1.25ns","k100","simple",-0.298105055858095,-0.0215991031196143,-0.0903705476833815
"9","analysis_1.25ns-k100simple-nonscaling-3.out","1.25ns","k100","simple",-0.889309452615755,-0.0644346219389148,-0.269594160560466
"10","analysis_1.25ns-k100simple-scaling-1.out","1.25ns","k100","simple",-0.829091204939139,-0.0600715287417674,-0.2513389987773
"11","analysis_1.25ns-k100simple-scaling-2.out","1.25ns","k100","simple",-0.650106037963134,-0.0471032177305097,-0.197079645408524
"12","analysis_1.25ns-k100simple-scaling-3.out","1.25ns","k100","simple",-1.44039906544123,-0.104363637370414,-0.436656976688509
"13","analysis_1.25ns-k10ex3-noscaling-1.out","1.25ns","k10","ex3",-1.85259158420559,-0.134228909840542,-0.561613138751925
"14","analysis_1.25ns-k10ex3-noscaling-2.out","1.25ns","k10","ex3",-1.92323573664532,-0.139347408515284,-0.583028913564029
"15","analysis_1.25ns-k10ex3-noscaling-3.out","1.25ns","k10","ex3",-1.84702437524596,-0.133825539558675,-0.559925439355813
"16","analysis_1.25ns-k10ex3-scaling-1.out","1.25ns","k10","ex3",-3.04466549540159,-0.220600230380577,-0.922990344930992
"17","analysis_1.25ns-k10ex3-scaling-2.out","1.25ns","k10","ex3",-1.18933832843183,-0.0861731147966077,-0.360547914264109
"18","analysis_1.25ns-k10ex3-scaling-3.out","1.25ns","k10","ex3",0.331479751746173,0.0240172556598232,0.100488086741852
"19","analysis_1.25ns-k10simple-nonscaling-1.out","1.25ns","k10","simple",0.124085609459314,0.0089905817486293,0.037616552507591
"20","analysis_1.25ns-k10simple-nonscaling-2.out","1.25ns","k10","simple",-1.04568302133116,-0.0757646170849008,-0.316998807916541
"21","analysis_1.25ns-k10simple-nonscaling-3.out","1.25ns","k10","simple",1.83603046942746,0.133028979752678,0.556592636806934
"22","analysis_1.25ns-k10simple-scaling-1.out","1.25ns","k10","simple",-0.097665053653131,-0.00707628912553834,-0.0296071610149467
"23","analysis_1.25ns-k10simple-scaling-2.out","1.25ns","k10","simple",-1.59354995818352,-0.115460134595796,-0.483084669823334
"24","analysis_1.25ns-k10simple-scaling-3.out","1.25ns","k10","simple",-0.532795687705338,-0.0386035351440381,-0.161517012727873
"25","analysis_1.25ns-k3ex3-noscaling-1.out","1.25ns","k3","ex3",1.33995451276911,0.0970859605637467,0.406207210545956
"26","analysis_1.25ns-k3ex3-noscaling-2.out","1.25ns","k3","ex3",-2.11770879901397,-0.153437889859174,-0.641983422421085
"27","analysis_1.25ns-k3ex3-noscaling-3.out","1.25ns","k3","ex3",-0.278871569686487,-0.0202055472472577,-0.0845399163504585
"28","analysis_1.25ns-k3ex3-scaling-1.out","1.25ns","k3","ex3",-0.863760292566056,-0.0625834660068407,-0.2618489326914
"29","analysis_1.25ns-k3ex3-scaling-2.out","1.25ns","k3","ex3",1.0839670315725,0.0785384723711013,0.328604605621203
"30","analysis_1.25ns-k3ex3-scaling-3.out","1.25ns","k3","ex3",0.573018579421024,0.0415178714454986,0.173710582351483
"31","analysis_1.25ns-k3simple-nonscaling-1.out","1.25ns","k3","simple",-1.99352195696326,-0.144439973336653,-0.604336181253412
"32","analysis_1.25ns-k3simple-nonscaling-2.out","1.25ns","k3","simple",1.26056914214137,0.09133411981941,0.382141535440156
"33","analysis_1.25ns-k3simple-nonscaling-3.out","1.25ns","k3","simple",-2.22021163700227,-0.160864699046926,-0.673057157757238
"34","analysis_1.25ns-k3simple-scaling-1.out","1.25ns","k3","simple",0.924143984680711,0.0669585464259676,0.280154248955958
"35","analysis_1.25ns-k3simple-scaling-2.out","1.25ns","k3","simple",-3.95307005989516,-0.286418382328207,-1.19837318865722
"36","analysis_1.25ns-k3simple-scaling-3.out","1.25ns","k3","simple",-3.12275452225592,-0.22625814496603,-0.946663033421882
"37","analysis_1.25ns-k400ex3-noscaling-1.out","1.25ns","k400","ex3",3.09403585853374,0.224177343694789,0.937956970514503
"38","analysis_1.25ns-k400ex3-noscaling-2.out","1.25ns","k400","ex3",2.43711901132126,0.176580651035177,0.73881262828204
"39","analysis_1.25ns-k400ex3-noscaling-3.out","1.25ns","k400","ex3",-2.2068296723007,-0.159895113225243,-0.669000415157957
"40","analysis_1.25ns-k400ex3-scaling-1.out","1.25ns","k400","ex3",4.01544330911157,0.290937615448399,1.21728163915717
"41","analysis_1.25ns-k400ex3-scaling-2.out","1.25ns","k400","ex3",5.53719702978522,0.401195777427152,1.67860127957939
"42","analysis_1.25ns-k400ex3-scaling-3.out","1.25ns","k400","ex3",6.1636425103694,0.44658467730678,1.86850822701848
"43","analysis_1.25ns-norestraints-1.out","1.25ns","","norestraint",-1.94522143479167,-0.140940374995013,-0.589693877957095
"44","analysis_1.25ns-norestraints-2.out","1.25ns","","norestraint",0.137910528835661,0.00999226170461172,0.0418075768165306
"45","analysis_1.25ns-norestraints-3.out","1.25ns","","norestraint",-1.39943949404742,-0.101395925186789,-0.424240082620475
