"","name","timescale","kvalue","restraint","ktvalue","kcalvalue","kjvalue"
"1","analysis_1.25ns-k100ex3-nonscaling-1.out","1.25ns","k100","ex3",2.85554427797994,0.206897515190326,0.865658247869619
"2","analysis_1.25ns-k100ex3-nonscaling-2.out","1.25ns","k100","ex3",4.19610793226161,0.304027610900678,1.27205011966511
"3","analysis_1.25ns-k100ex3-nonscaling-3.out","1.25ns","k100","ex3",3.40895355693384,0.246994601263119,1.03342427078449
"4","analysis_1.25ns-k100ex3-scaling-1.out","1.25ns","k100","ex3",3.5360482964137,0.256203208531063,1.07195304105781
"5","analysis_1.25ns-k100ex3-scaling-2.out","1.25ns","k100","ex3",4.41028445900673,0.319545700232148,1.33697773374789
"6","analysis_1.25ns-k100ex3-scaling-3.out","1.25ns","k100","ex3",3.82265229302492,0.276969006210946,1.1588370426305
"7","analysis_1.25ns-k100simple-nonscaling-1.out","1.25ns","k100","simple",2.47580819054389,0.179383862705766,0.750541252963381
"8","analysis_1.25ns-k100simple-nonscaling-2.out","1.25ns","k100","simple",4.0560171001445,0.293877376043708,1.2295815839088
"9","analysis_1.25ns-k100simple-nonscaling-3.out","1.25ns","k100","simple",2.45120515979844,0.177601258259168,0.743082844192898
"10","analysis_1.25ns-k100simple-scaling-1.out","1.25ns","k100","simple",3.54858720337914,0.257111710883612,1.07575421070438
"11","analysis_1.25ns-k100simple-scaling-2.out","1.25ns","k100","simple",3.90901254997553,0.283226210034421,1.18501715452508
"12","analysis_1.25ns-k100simple-scaling-3.out","1.25ns","k100","simple",2.89632876610031,0.209852541773344,0.87802206544331
"13","analysis_1.25ns-k10ex3-nonscaling-1.out","1.25ns","k10","ex3",3.64604838038896,0.264173228194463,1.10529956651491
"14","analysis_1.25ns-k10ex3-nonscaling-2.out","1.25ns","k10","ex3",2.74101195279112,0.198599113490423,0.830937773488629
"15","analysis_1.25ns-k10ex3-nonscaling-3.out","1.25ns","k10","ex3",3.97056413038526,0.28768590941328,1.20367651612629
"16","analysis_1.25ns-k10ex3-scaling-1.out","1.25ns","k10","ex3",3.50682384060581,0.25408576026172,1.06309364727965
"17","analysis_1.25ns-k10ex3-scaling-2.out","1.25ns","k10","ex3",2.83358934399665,0.205306777717846,0.859002609632585
"18","analysis_1.25ns-k10ex3-scaling-3.out","1.25ns","k10","ex3",4.83547929544352,0.350353051324165,1.4658755484137
"19","analysis_1.25ns-k10simple-nonscaling-1.out","1.25ns","k10","simple",2.7173427523131,0.19688416940666,0.823762455363717
"20","analysis_1.25ns-k10simple-nonscaling-2.out","1.25ns","k10","simple",3.33528017840472,0.241656621015047,1.01109018608339
"21","analysis_1.25ns-k10simple-nonscaling-3.out","1.25ns","k10","simple",2.00492767059069,0.145266370541097,0.607793823339568
"22","analysis_1.25ns-k10simple-scaling-1.out","1.25ns","k10","simple",3.30430020169594,0.239411977060083,1.00169860614412
"23","analysis_1.25ns-k10simple-scaling-2.out","1.25ns","k10","simple",3.6566126841952,0.264938661328903,1.10850213521377
"24","analysis_1.25ns-k10simple-scaling-3.out","1.25ns","k10","simple",4.12634874868672,0.298973232352026,1.25090262316438
"25","analysis_1.25ns-k3ex3-nonscaling-1.out","1.25ns","k3","ex3",3.36808885397799,0.244033762740755,1.02103613608343
"26","analysis_1.25ns-k3ex3-nonscaling-2.out","1.25ns","k3","ex3",3.42619625863937,0.248243915506134,1.03865139580652
"27","analysis_1.25ns-k3ex3-nonscaling-3.out","1.25ns","k3","ex3",3.61258951683602,0.261748977313965,1.09515651202884
"28","analysis_1.25ns-k3ex3-scaling-1.out","1.25ns","k3","ex3",3.52013996978821,0.255050575992661,1.06713043184129
"29","analysis_1.25ns-k3ex3-scaling-2.out","1.25ns","k3","ex3",2.79135186286677,0.20224647500741,0.846198317228062
"30","analysis_1.25ns-k3ex3-scaling-3.out","1.25ns","k3","ex3",3.86444503399701,0.279997085420502,1.17150651205619
"31","analysis_1.25ns-k3simple-nonscaling-1.out","1.25ns","k3","simple",3.69953574426393,0.268048637434358,1.12151426087361
"32","analysis_1.25ns-k3simple-nonscaling-2.out","1.25ns","k3","simple",3.38131007249454,0.244991701750827,1.02504414847672
"33","analysis_1.25ns-k3simple-nonscaling-3.out","1.25ns","k3","simple",2.4043791216756,0.174208493171078,0.728887530735957
"34","analysis_1.25ns-k3simple-scaling-1.out","1.25ns","k3","simple",4.1733275697084,0.302377067274464,1.2651442527571
"35","analysis_1.25ns-k3simple-scaling-2.out","1.25ns","k3","simple",2.86883447950249,0.207860452341257,0.869687172461179
"36","analysis_1.25ns-k3simple-scaling-3.out","1.25ns","k3","simple",3.66425038942566,0.265492048732533,1.11081750555439
"37","analysis_1.25ns-k400ex3-nonscaling-1.out","1.25ns","k400","ex3",3.14337359840377,0.227752093301347,0.952913706356104
"38","analysis_1.25ns-k400ex3-nonscaling-2.out","1.25ns","k400","ex3",3.1171498729273,0.225852061954625,0.944963983977911
"39","analysis_1.25ns-k400ex3-nonscaling-3.out","1.25ns","k400","ex3",3.5371985025234,0.256286546333908,1.07230172603997
"40","analysis_1.25ns-k400ex3-scaling-1.out","1.25ns","k400","ex3",3.96638267882633,0.287382943725057,1.2024089090862
"41","analysis_1.25ns-k400ex3-scaling-2.out","1.25ns","k400","ex3",4.21200239868186,0.3051792392025,1.2768685271604
"42","analysis_1.25ns-k400ex3-scaling-3.out","1.25ns","k400","ex3",3.33973806259245,0.241979615537863,1.0124415936749
"43","analysis_1.25ns-k400simple-nonscaling-1.out","1.25ns","k400","simple",2.88032430437974,0.208692943798457,0.873170312872717
"44","analysis_1.25ns-k400simple-nonscaling-2.out","1.25ns","k400","simple",3.29400984555454,0.238666392712994,0.998579084679859
"45","analysis_1.25ns-k400simple-nonscaling-3.out","1.25ns","k400","simple",3.28282599401417,0.23785607045261,0.995188700085396
"46","analysis_1.25ns-k400simple-scaling-1.out","1.25ns","k400","simple",2.57103374163609,0.186283398480971,0.779408878776979
"47","analysis_1.25ns-k400simple-scaling-2.out","1.25ns","k400","simple",3.97110143527706,0.287724839661314,1.20383940010424
"48","analysis_1.25ns-k400simple-scaling-3.out","1.25ns","k400","simple",2.25403940266703,0.163315678607793,0.683312044918509
"49","analysis_1.25ns-norestraint-1.out","1.25ns","","norestraint",2.86111847086122,0.207301391489924,0.867348064441579
