"","name","timescale","kvalue","restraint","ktvalue","kcalvalue","kjvalue"
"1","analysis_5ns-k100ex3-1.out","5ns","k100","ex3",-2.09516228750925,-0.151804289833249,-0.635148447458428
"2","analysis_5ns-k100ex3-2.out","5ns","k100","ex3",-1.82327629612146,-0.132104880348699,-0.552726209169222
"3","analysis_5ns-k100ex3-3.out","5ns","k100","ex3",0.0963416547630089,0.00698040269713192,0.0292059726414062
"4","analysis_5ns-k100simple-1.out","5ns","k100","simple",-0.507585419582313,-0.036776933514304,-0.153874519946378
"5","analysis_5ns-k100simple-2.out","5ns","k100","simple",-1.51245806073761,-0.10958464801588,-0.458501661112608
"6","analysis_5ns-k100simple-3.out","5ns","k100","simple",0.0354255738427867,0.00256674822337161,0.0107392627104408
"7","analysis_5ns-k10ex3-1.out","5ns","k10","ex3",0.0707888187024608,0.00512898042090892,0.021459630389651
"8","analysis_5ns-k10ex3-2.out","5ns","k10","ex3",-2.31924549257081,-0.168040164262035,-0.70307927107284
"9","analysis_5ns-k10ex3-3.out","5ns","k10","ex3",-1.27601403055075,-0.0924531740953089,-0.386823653361459
"10","analysis_5ns-k10simple-1.out","5ns","k10","simple",-0.290946029351723,-0.0210803982244488,-0.0882002887979747
"11","analysis_5ns-k10simple-2.out","5ns","k10","simple",-0.747155108775686,-0.0541348760232858,-0.226500071225349
"12","analysis_5ns-k10simple-3.out","5ns","k10","simple",-1.22111013999672,-0.0884751308838953,-0.370179538940007
"13","analysis_5ns-k3ex3-1.out","5ns","k3","ex3",-1.29790277930855,-0.0940391161391908,-0.393459227547387
"14","analysis_5ns-k3ex3-2.out","5ns","k3","ex3",0.759724687235511,0.055045600668805,0.230310538935445
"15","analysis_5ns-k3ex3-3.out","5ns","k3","ex3",-1.39915636864174,-0.101375411429264,-0.424154253153744
"16","analysis_5ns-k3simple-1.out","5ns","k3","simple",-2.57827995644951,-0.186808420576056,-0.78160556879767
"17","analysis_5ns-k3simple-2.out","5ns","k3","simple",0.468310069225133,0.0339312510082431,0.141968197485599
"18","analysis_5ns-k3simple-3.out","5ns","k3","simple",-0.414775803616102,-0.0300524435187361,-0.125739284866221
"19","analysis_5ns-norestraints-1.out","5ns","","norestraint",-0.0685468995357752,-0.00496654290998616,-0.0207799925942703
"20","analysis_5ns-norestraints-2.out","5ns","","norestraint",-0.708237558823463,-0.0513151178270983,-0.214702215957333
"21","analysis_5ns-norestraints-3.out","5ns","","norestraint",-1.91894665534927,-0.139036644550094,-0.581728678569132
