"","name","timescale","kvalue","restraint","ktvalue","kjvalue","kcalvalue"
"1","analysis_5ns-k100ex3-1.out","5ns","k100","ex3",-1.03685373871127,-0.314322210890322,-0.0751248943360524
"2","analysis_5ns-k100ex3-2.out","5ns","k100","ex3",-1.39966793657509,-0.424309334972737,-0.101412476914494
"3","analysis_5ns-k100ex3-3.out","5ns","k100","ex3",-0.868387049422964,-0.263251534032571,-0.0629186961429888
"4","analysis_5ns-k100simple-1.out","5ns","k100","simple",-2.0824963095766,-0.631308756248146,-0.150886580595844
"5","analysis_5ns-k100simple-2.out","5ns","k100","simple",-1.66528219869068,-0.504830298533078,-0.120657470331197
"6","analysis_5ns-k100simple-3.out","5ns","k100","simple",-1.6656447622769,-0.504940209684242,-0.120683739755792
"7","analysis_5ns-k10ex3-1.out","5ns","k10","ex3",-0.158921830660532,-0.0481771529647402,-0.0115146286214907
"8","analysis_5ns-k10ex3-2.out","5ns","k10","ex3",1.20146488979835,0.36422408134237,0.0870517407853146
"9","analysis_5ns-k10ex3-3.out","5ns","k10","ex3",-0.597093524301336,-0.18100890189195,-0.0432622136055874
"10","analysis_5ns-k10simple-1.out","5ns","k10","simple",-1.57365539408368,-0.477053632716468,-0.114018680541032
"11","analysis_5ns-k10simple-2.out","5ns","k10","simple",-1.21065617597394,-0.367010419746501,-0.0877176923819323
"12","analysis_5ns-k10simple-3.out","5ns","k10","simple",-6.66983175845681,-2.02195949757618,-0.483260451677693
"13","analysis_5ns-k3ex3-1.out","5ns","k3","ex3",-0.401175297495634,-0.121616291435801,-0.0290670233509051
"14","analysis_5ns-k3ex3-2.out","5ns","k3","ex3",-1.61241946811346,-0.488804961758595,-0.116827318690075
"15","analysis_5ns-k3ex3-3.out","5ns","k3","ex3",-2.31773750223472,-0.702622123802455,-0.16793090332153
"16","analysis_5ns-k3simple-1.out","5ns","k3","simple",-0.399044263685447,-0.120970268536243,-0.0289126200017733
"17","analysis_5ns-k3simple-2.out","5ns","k3","simple",-2.70145124838322,-0.818944945947374,-0.195732755751098
"18","analysis_5ns-k3simple-3.out","5ns","k3","simple",-3.45154028640189,-1.04633443782273,-0.25008020864626
"19","analysis_5ns-norestraints-1.out","5ns","","norestraint",-1.98811747152759,-0.602697811493588,-0.144048393133837
"20","analysis_5ns-norestraints-2.out","5ns","","norestraint",-2.79891609273803,-0.848491413513532,-0.202794538778215
"21","analysis_5ns-norestraints-3.out","5ns","","norestraint",-1.32169600328703,-0.400672143396463,-0.0957630463046151
